Franchise,No_of_Movies,Domestic_Box_Office,Infl_Adj_Dom_Box_Office,Worldwide_Box_Office,First_Year,Last_Year,No_of_Years
Deep Blue Sea,2,73648228,132073883,165048228,1999,2018,19.0
Dolphin Tale,2,114311312,129901686,153893257,2011,2014,3.0
Brother Bear,2,85336277,128834996,250397798,2003,2006,3.0
Mean Girls,2,86047227,126230310,130953026,2004,2011,7.0
Jingle All the Way,2,60592389,124628189,129832389,1996,2014,18.0
Inside Man,1,88634237,123276010,185798265,2006,2006,
Paddington,2,117115169,123263684,452383171,2014,2017,3.0
Dark Crystal,1,40577001,121901930,40577001,1982,1982,
Whole Nine Yards,2,73586461,120730238,111851836,2000,2004,4.0
Sin City,2,87861624,120658297,199178760,2005,2014,9.0
Beverly Hills Chihuahua,3,94514402,119880276,154218168,2008,2012,4.0
Open Season,4,85105259,118367770,212047685,2006,2015,9.0
Last Picture Show,2,22773266,118109392,22773266,1971,1990,19.0
Un homme et une femme,2,14056821,117148688,14056821,1966,1986,20.0
Jeepers Creepers,3,75763138,117098045,182497271,2001,2017,16.0
Road Trip,2,68525609,115819721,119739110,2000,2009,9.0
Yogi Bear,1,100246011,115545792,204774690,2010,2010,
Bring It On,5,68353550,115528911,90453550,2000,2017,17.0
Harold & Kumar,3,91394924,115366143,99017018,2004,2011,7.0
High School Musical,5,90559416,114883841,279277272,2006,2008,2.0
Dumbo,2,114766307,114766307,353184736,1941,2019,78.0
Bad Grandpa,2,102003019,114296501,160903019,2013,2014,1.0
Dukes of Hazzard,2,80270227,114081396,109848461,2005,2007,2.0
Old School,1,75155000,113542622,86765463,2003,2003,
Sisterhood of the Traveling Pants,2,83143025,111444315,85830248,2005,2008,3.0
Urban Legend,2,59585514,110296392,111146226,1998,2000,2.0
Bad Santa,2,77842504,109325612,100492144,2003,2016,13.0
Starship Troopers,3,54768952,108683667,121100000,1997,2008,11.0
The Land Before Time,3,48092846,106931659,81972846,1988,2016,28.0
Evil Dead,4,74065876,106831276,154607509,1983,2013,30.0
Hellraiser,6,48022912,106658742,48034060,1987,2018,31.0
Agent Cody Banks,2,71059307,106325224,86943541,2003,2004,1.0
28 Days Later,2,73703831,106004726,147188347,2003,2007,4.0
Dragonheart,4,51364680,105867018,104364680,1996,2017,21.0
Dollar Trilogy,3,13900000,105524155,13927522,1967,1967,
Kenneth Branagh's Hercule Poirot,2,102826543,104396965,345922730,2017,2020,3.0
Teen Wolf,2,40974611,103285199,40974611,1985,1987,2.0
Zoolander,2,74020943,103089006,116129674,2001,2016,15.0
Missing in Action,3,39567858,102751371,39567858,1984,1988,4.0
Jumper,1,80172128,101722579,222640812,2008,2008,
Sicario,2,96955143,100735634,160278945,2015,2018,3.0
The Nut Job,2,92622060,100457309,179968355,2014,2017,3.0
Nanny McPhee,2,76476921,99470250,226545443,2006,2010,4.0
Universal Soldier,4,46752779,98426499,48562507,1992,2012,20.0
Weekend at Bernie's,2,42960278,97033170,42960278,1989,1993,4.0
Downton Abbey,2,96853865,96853867,194347679,2019,2019,
F/X,2,41679546,96198831,41679546,1986,1991,5.0
Mannequin,2,41318609,95721184,41318609,1987,1991,4.0
Highlander,5,46623898,95588753,53623898,1986,2008,22.0
God's Not Dead,3,87257741,95352683,94683139,2014,2018,4.0
NeverEnding Story,2,38416963,94790196,38509012,1984,1991,7.0
Creepshow,2,34036244,94704007,34036244,1982,1987,5.0
White Fang,2,43481490,94692847,43481490,1991,1994,3.0
Behind Enemy Lines,4,58855732,94516751,58855732,2001,2014,13.0
Ouija,2,86000515,93720701,185132498,2014,2016,2.0
I Can Only Imagine,2,93350873,93350873,96248171,2018,2020,2.0
His Dark Materials,1,70107728,92585768,367262558,2007,2007,
Man from Snowy River,2,34346450,91437780,34346450,1982,1988,6.0
3 Ninjas,4,41488660,91398426,41488660,1992,1998,6.0
The Woman in Black,2,80834613,91338773,173962590,2012,2015,3.0
Gods Must Be Crazy,2,36323227,91234218,43923227,1984,1990,6.0
The Strangers,2,77029082,91167433,115195938,2008,2018,10.0
Hostel,3,64871285,89055106,115847519,2006,2011,5.0
Jarhead,3,62647540,89029880,96947540,2005,2016,11.0
Tintin,2,77591831,89024250,373993951,2011,2021,10.0
